Iterator,Vmid,Mems,Mem_usage,CPUs,CPU_usage,Bands,Band_usage
6.0,0,2048,0.8977009576104773,4,0.009878861992361277,1,2.47955322265625e-05
6.0,1,2048,0.8920814464122019,2,0.004940363044428242,1,2.47955322265625e-05
6.0,2,2048,0.898089113731909,2,0.004940720364658576,1,2.47955322265625e-05
6.0,3,2048,0.829888694069856,4,0.0024702577551283873,1,2.47955322265625e-05
6.0,4,2048,0.7944362782638116,3,0.006586759703793182,1,2.47955322265625e-05
6.0,5,2048,0.8300167107486004,12,0.7616075461220654,5.040573770709164,0.500013983531481
6.0,6,2048,0.7728961258952595,4,0.0024696974657346955,1,2.47955322265625e-05
6.0,7,2048,0.8955223880597015,2,0.009878927142422418,1,2.47955322265625e-05
6.0,8,2048,0.892401981515306,2,0.0049385120920017915,1,0.0006170272827148438
6.0,9,2048,0.8231212894996125,2,0.0,1,0.0011692047119140625
6.0,10,2048,0.8945503507901637,4,0.0024693130320353955,1,2.47955322265625e-05
6.0,11,2048,0.8632027487009736,2,0.00493884239287351,1,2.47955322265625e-05
6.0,12,2048,0.8035012561636602,4,0.0024694415510124685,1,2.47955322265625e-05
6.0,13,2048,0.9088269786006405,2,0.009878261721519154,1,2.47955322265625e-05
6.0,14,2048,0.9119542431813974,2,0.004939430996180639,1,2.47955322265625e-05
