Iterator,Vmid,Mems,Mem_usage,CPUs,CPU_usage,Bands,Band_usage
1.0,0,2048,0.8977009576104773,4,0.0024863197120867874,1,2.47955322265625e-05
1.0,1,2048,0.8922254658342497,3,0.0033151173173239156,1,2.47955322265625e-05
1.0,2,2048,0.8996618972615735,3,0.0033151464020306134,1,2.47955322265625e-05
1.0,3,2048,0.8297446753062685,4,0.002486355674609545,1,2.47955322265625e-05
1.0,4,2048,0.7944362782638116,3,0.006630420151475308,1,2.47955322265625e-05
1.0,5,2048,0.8754694897392346,5,1.0025349789242448,1.6531217694282532,0.9689025487527736
1.0,6,2048,0.7728961258952595,4,0.002486464158029488,1,0.0011692047119140625
1.0,7,2048,0.8956206865808802,3,0.0033153366443194076,1,2.47955322265625e-05
1.0,8,2048,0.8936478581209437,3,0.006630223629738492,1,2.47955322265625e-05
1.0,9,2048,0.8245271933815075,3,0.0033150709400635303,1,2.47955322265625e-05
1.0,10,2048,0.8945503507901637,4,0.0024863332716043383,1,2.47955322265625e-05
1.0,11,2048,0.8646109321671623,3,0.0033149986255687214,1,0.0011692047119140625
1.0,12,2048,0.8033572374000727,4,0.0024862719601808007,1,2.47955322265625e-05
1.0,13,2048,0.910354034697092,3,0.006629962666879113,1,2.47955322265625e-05
1.0,14,2048,0.9122125625510067,3,0.006630008255295304,1,2.47955322265625e-05
2.0,0,2048,0.8977009576104773,4,0.00248479844851757,1,2.47955322265625e-05
2.0,1,2048,0.8920814464122019,2,0.004970042084697409,1,2.47955322265625e-05
2.0,2,2048,0.898089113731909,2,0.004970184608712242,1,2.47955322265625e-05
2.0,3,2048,0.8297446753062685,4,0.002485135299114185,1,2.47955322265625e-05
2.0,4,2048,0.7944362782638116,3,0.0,1,2.47955322265625e-05
2.0,5,2048,0.6212032196194704,7,0.9670864027088377,3.8121639060506083,0.8980621575801784
2.0,6,2048,0.7728961258952595,4,0.0024852854979584686,1,2.47955322265625e-05
2.0,7,2048,0.8955223880597015,2,0.009941238597083357,1,2.47955322265625e-05
2.0,8,2048,0.892401981515306,2,0.0049705698178158664,1,2.47955322265625e-05
2.0,9,2048,0.8228492528135223,2,0.004970502666977942,1,0.0006170272827148438
2.0,10,2048,0.8945503507901637,4,0.002485268415606307,1,2.47955322265625e-05
2.0,11,2048,0.8629147111737987,2,0.009940904021057831,1,2.47955322265625e-05
2.0,12,2048,0.8035012561636602,4,0.002485233073554249,1,2.47955322265625e-05
2.0,13,2048,0.9088269786006405,2,0.004970665245812038,1,2.47955322265625e-05
2.0,14,2048,0.9119542431813974,2,0.004970724153811549,1,2.47955322265625e-05
3.0,0,2048,0.8977009576104773,4,0.004971395803706444,1,2.47955322265625e-05
3.0,1,2048,0.8920814464122019,2,0.0049717694138621,1,2.47955322265625e-05
3.0,2,2048,0.898089113731909,2,0.004972130112897344,1,2.47955322265625e-05
3.0,3,2048,0.8297446753062685,4,0.0,1,2.47955322265625e-05
3.0,4,2048,0.7944362782638116,3,0.0,1,2.47955322265625e-05
3.0,5,2048,0.8361135050738039,9,0.8408605896804718,5.040573770709164,0.5125750839145115
3.0,6,2048,0.7728961258952595,4,0.002486132841627627,1,2.47955322265625e-05
3.0,7,2048,0.8955223880597015,2,0.004972398903069196,1,2.47955322265625e-05
3.0,8,2048,0.892401981515306,2,0.0099446751949788,1,2.47955322265625e-05
3.0,9,2048,0.8228492528135223,2,0.004972400082037469,1,2.47955322265625e-05
3.0,10,2048,0.8945503507901637,4,0.0024862118307601663,1,2.47955322265625e-05
3.0,11,2048,0.8632027487009736,2,0.004972475537169821,1,2.47955322265625e-05
3.0,12,2048,0.8035012561636602,4,0.002486188840867943,1,2.47955322265625e-05
3.0,13,2048,0.9088269786006405,2,0.004972596977582018,1,2.47955322265625e-05
3.0,14,2048,0.9119542431813974,2,0.004972764410012529,1,2.47955322265625e-05
4.0,0,2048,0.8977009576104773,4,0.002486780228909494,1,2.47955322265625e-05
4.0,1,2048,0.8920814464122019,2,0.004974126691335471,1,2.47955322265625e-05
4.0,2,2048,0.898089113731909,2,0.014921955362608541,1,2.47955322265625e-05
4.0,3,2048,0.8297446753062685,4,0.002486911752219559,1,2.47955322265625e-05
4.0,4,2048,0.7944362782638116,3,0.003315581947593255,1,2.47955322265625e-05
4.0,5,2048,0.7745992049249845,11,0.7694996396708859,5.040573770709164,0.40974276055723874
